,score,pval
depression,413.801609,0.0
my,303.800554,0.0
anxiety,237.300253,0.0
cant,219.683999,0.0
me,200.916606,0.0
feeling,190.222359,0.0
relationship,168.916921,0.0
feel,161.252042,0.0
boyfriend,145.877151,0.0
http,139.679644,0.0
myself,134.681143,0.0
okay,122.924156,0.0
depressed,106.526426,0.0
im,100.005528,0.0
she,98.721174,0.0
her,96.376094,0.0
sex,90.584669,0.0
am,85.369675,0.0
asexual,81.519508,0.0
relationships,80.254989,0.0
therapy,76.461764,0.0
friends,76.127457,0.0
someone,75.696859,0.0
therapist,73.91164,0.0
movie,72.89704,0.0
government,71.905019,0.0
acne,71.642444,0.0
medication,71.212152,0.0
feelings,71.211834,0.0
sometimes,70.465204,0.0
pain,69.133636,0.0
obama,69.015036,0.0
know,65.872592,0.0
disorder,65.436098,0.0
hes,64.464361,0.0
suicidal,64.152764,0.0
because,63.297924,0.0
mmr,62.975272,0.0
cerave,62.646387,0.0
and,62.188854,0.0
the,61.409982,0.0
makeup,60.251086,0.0
meds,59.086117,0.0
women,57.551244,0.0
talk,56.859931,0.0
war,56.517487,0.0
partner,55.928928,0.0
glad,55.696654,0.0
friend,55.552252,0.0
attracted,55.414033,0.0
heroes,54.039727,0.0
ive,53.938033,0.0
diagnosed,50.456694,0.0
article,50.154806,0.0
submission,50.136883,0.0
film,49.392461,0.0
bernie,49.335025,0.0
dating,49.149404,0.0
attractive,48.719693,0.0
vote,48.671404,0.0
sleep,47.577671,0.0
moisturizer,45.531001,0.0
alone,45.366508,0.0
lotion,44.977413,0.0
husband,44.888284,0.0
keto,44.031015,0.0
removed,43.792558,0.0
depressive,43.279438,0.0
medications,43.035444,0.0
panic,42.415667,0.0
sanders,42.376031,0.0
bkb,41.742922,0.0
girlfriend,41.294715,0.0
republicans,40.389449,0.0
skin,40.07123,0.0
news,39.549492,0.0
zoloft,39.498573,0.0
have,39.324402,0.0
police,39.297052,0.0
emotionally,38.920544,0.0
israel,38.850983,0.0
republican,38.803852,0.0
situations,38.71148,0.0
antidepressants,38.234619,0.0
mom,38.205172,0.0
so,38.135257,0.0
emotional,37.887929,0.0
movies,37.57767,0.0
uncomfortable,37.548752,0.0
whenever,37.523886,0.0
aha,37.482484,0.0
queer,37.4058,0.0
mental,37.226584,0.0
routine,36.939296,0.0
gun,36.204805,0.0
pcos,35.69312,0.0
sleeping,35.639167,0.0
weeks,35.535531,0.0
asexuality,35.274186,0.0
dad,35.192217,0.0
mods,35.067181,0.0
president,35.012083,0.0
to,34.606175,0.0
american,34.461899,0.0
being,34.348388,0.0
partners,34.27982,0.0
having,34.263772,0.0
supportive,34.15004,1e-08
therapists,34.097675,1e-08
sexual,34.034644,1e-08
nbsp,34.013775,1e-08
him,33.87768,1e-08
clinton,33.549646,1e-08
doctors,33.520531,1e-08
law,33.461627,1e-08
book,33.243678,1e-08
life,32.925894,1e-08
politics,32.923689,1e-08
unattractive,32.885437,1e-08
mum,32.785082,1e-08
think,32.527997,1e-08
states,32.508109,1e-08
with,32.217292,1e-08
parents,31.888677,2e-08
lesbian,31.517254,2e-08
go,31.424111,2e-08
girls,30.93306,3e-08
experiences,30.90037,3e-08
anxious,30.861318,3e-08
gop,30.793218,3e-08
new,30.648745,3e-08
conversations,29.944776,4e-08
iraq,29.93375,4e-08
emotions,29.860789,5e-08
shelly,29.842426,5e-08
help,29.630565,5e-08
unhappy,29.528016,6e-08
state,29.355874,6e-08
sunscreen,29.344722,6e-08
trailer,29.215868,6e-08
shawn,29.093891,7e-08
america,29.032871,7e-08
evidence,28.918037,8e-08
link,28.584048,9e-08
films,28.504592,9e-08
poly,28.452703,1e-07
doctor,28.429091,1e-07
awful,28.427633,1e-07
miserable,28.29115,1e-07
family,28.280823,1e-07
week,28.254329,1.1e-07
bush,28.250219,1.1e-07
ex,28.090066,1.2e-07
sick,28.035223,1.2e-07
peerreviewed,27.98854,1.2e-07
hydrox,27.945967,1.2e-07
severe,27.937738,1.3e-07
physically,27.907472,1.3e-07
counselling,27.895046,1.3e-07
aghs,27.814518,1.3e-07
story,27.672855,1.4e-07
hillary,27.525317,1.6e-07
psychiatrist,27.487761,1.6e-07
ocd,27.417216,1.6e-07
girl,27.292453,1.7e-07
cope,27.201228,1.8e-07
market,27.122574,1.9e-07
iran,27.080868,2e-07
person,27.050536,2e-07
fetish,27.033443,2e-07
hair,26.909575,2.1e-07
vaseline,26.84552,2.2e-07
cbt,26.570541,2.5e-07
power,26.536888,2.6e-07
cm,26.521071,2.6e-07
dota,26.49196,2.6e-07
want,26.444734,2.7e-07
campaign,26.300825,2.9e-07
democrats,26.226625,3e-07
political,26.120483,3.2e-07
attraction,26.085136,3.3e-07
yourself,25.417878,4.6e-07
through,25.287411,4.9e-07
female,25.07493,5.5e-07
uhc,25.029484,5.6e-07
but,24.991174,5.8e-07
happy,24.972775,5.8e-07
history,24.956299,5.9e-07
diagnosis,24.919952,6e-07
personality,24.717277,6.6e-07
kayfabe,24.551766,7.2e-07
military,24.376272,7.9e-07
really,24.320015,8.2e-07
bp,24.319351,8.2e-07
aupair,24.175033,8.8e-07
paul,24.168471,8.8e-07
released,24.076475,9.3e-07
million,23.934394,1e-06
boyfriends,23.900643,1.01e-06
bill,23.840808,1.05e-06
things,23.805146,1.07e-06
everythingscience,23.754406,1.09e-06
calvin,23.703314,1.12e-06
hugs,23.643601,1.16e-06
shes,23.638302,1.16e-06
nuclear,23.540658,1.22e-06
system,23.531398,1.23e-06
prozac,23.249788,1.42e-06
research,23.168515,1.48e-06
security,22.940506,1.67e-06
federal,22.71944,1.87e-06
california,22.556238,2.04e-06
had,22.313688,2.32e-06
industry,22.285363,2.35e-06
divorced,22.229198,2.42e-06
cleanser,22.193914,2.46e-06
rand,22.101203,2.59e-06
conspiracy,22.088874,2.6e-06
congress,22.054381,2.65e-06
mg,22.000045,2.73e-06
helps,21.995083,2.73e-06
election,21.949747,2.8e-06
just,21.856519,2.94e-06
design,21.85008,2.95e-06
conversation,21.836488,2.97e-06
kp,21.823393,2.99e-06
users,21.774361,3.07e-06
by,21.72917,3.14e-06
get,21.662444,3.25e-06
media,21.645905,3.28e-06
climate,21.620201,3.32e-06
lesbians,21.501159,3.54e-06
cheated,21.446406,3.64e-06
apnea,21.360434,3.81e-06
psychologist,21.265034,4e-06
trying,21.250395,4.03e-06
isis,21.214772,4.11e-06
science,21.176188,4.19e-06
appointment,21.142908,4.26e-06
mood,21.085811,4.39e-06
economy,21.013793,4.56e-06
national,20.972597,4.66e-06
source,20.958413,4.69e-06
problems,20.870313,4.91e-06
chronic,20.75748,5.21e-06
americans,20.727891,5.29e-06
cymbalta,20.721524,5.31e-06
actually,20.709297,5.35e-06
illness,20.686521,5.41e-06
tax,20.654578,5.5e-06
review,20.590526,5.69e-06
data,20.565938,5.76e-06
weapons,20.35045,6.45e-06
need,20.250964,6.79e-06
global,20.193106,7e-06
google,20.062033,7.5e-06
try,20.048357,7.55e-06
pregnant,20.039694,7.59e-06
world,20.014047,7.69e-06
anderz,19.964637,7.89e-06
suicide,19.938026,8e-06
public,19.855025,8.35e-06
melatonin,19.83242,8.45e-06
identity,19.754477,8.81e-06
mindcrack,19.64775,9.31e-06
michaels,19.642205,9.34e-06
hobbes,19.636533,9.37e-06
party,19.635336,9.37e-06
mkb,19.601655,9.54e-06
cry,19.568394,9.71e-06
cia,19.378192,1.072e-05
symptoms,19.333296,1.098e-05
childcare,19.067413,1.262e-05
india,19.056798,1.269e-05
gank,18.872466,1.398e-05
references,18.806138,1.447e-05
sexually,18.787216,1.461e-05
told,18.686087,1.541e-05
when,18.563604,1.643e-05
bitcoin,18.540806,1.663e-05
director,18.534716,1.668e-05
istick,18.453175,1.741e-05
tell,18.440964,1.752e-05
together,18.44041,1.753e-05
china,18.378112,1.811e-05
comfortable,18.373343,1.816e-05
civil,18.366947,1.822e-05
hero,18.366279,1.823e-05
author,18.318072,1.869e-05
russia,18.251085,1.936e-05
odst,18.208363,1.98e-05
breakup,18.136576,2.056e-05
upset,18.073653,2.125e-05
technology,18.052984,2.148e-05
behaviour,17.989932,2.221e-05
asexuals,17.982951,2.229e-05
friendship,17.950727,2.267e-05
conservative,17.939265,2.281e-05
action,17.884921,2.347e-05
helped,17.841761,2.401e-05
younger,17.820601,2.427e-05
asleep,17.680239,2.613e-05
definitely,17.5704,2.769e-05
happiness,17.51766,2.847e-05
us,17.498332,2.876e-05
tired,17.465555,2.926e-05
relate,17.464587,2.927e-05
counseling,17.405294,3.02e-05
married,17.355212,3.1e-05
ehlersdanlos,17.352913,3.104e-05
com,17.12731,3.496e-05
like,17.115368,3.518e-05
neem,17.03236,3.675e-05
economic,17.027353,3.685e-05
stridex,17.025199,3.689e-05
trump,16.973913,3.79e-05
pimples,16.890666,3.96e-05
neutrogena,16.844464,4.057e-05
skincare,16.712659,4.349e-05
trp,16.702638,4.372e-05
crime,16.660069,4.471e-05
prison,16.627789,4.548e-05
killed,16.61252,4.585e-05
citizens,16.531429,4.785e-05
stress,16.52896,4.791e-05
nsa,16.503425,4.856e-05
andnbsp,16.496744,4.873e-05
exhausted,16.459391,4.97e-05
skadi,16.455783,4.98e-05
sociable,16.45084,4.993e-05
mass,16.439248,5.023e-05
army,16.424798,5.062e-05
blink,16.410952,5.099e-05
hope,16.388261,5.16e-05
scott,16.3475,5.273e-05
policy,16.303588,5.396e-05
mother,16.21166,5.664e-05
mindcrackers,16.169113,5.793e-05
scientists,16.075236,6.087e-05
moisturize,16.019678,6.269e-05
feminine,16.016276,6.28e-05
you,16.00946,6.303e-05
coping,15.9603,6.468e-05
court,15.940186,6.538e-05
qop,15.880892,6.746e-05
naturals,15.820901,6.963e-05
anyway,15.818104,6.973e-05
difficult,15.768255,7.159e-05
eds,15.740002,7.267e-05
diagnoses,15.73053,7.304e-05
stepdad,15.646248,7.636e-05
nervous,15.55033,8.034e-05
friendships,15.53668,8.092e-05
brother,15.520546,8.161e-05
citalopram,15.441513,8.51e-05
chad,15.287131,9.234e-05
billion,15.254761,9.394e-05
school,15.231127,9.512e-05
dysthymia,15.120293,0.00010087
breakouts,15.048141,0.0001048
fogger,15.007356,0.00010709
panromantic,14.986743,0.00010827
exhausting,14.941016,0.00011092
situation,14.899624,0.00011339
rhys,14.833984,0.0001174
mach,14.824223,0.00011801
mana,14.810773,0.00011885
troll,14.793253,0.00011996
realize,14.767654,0.0001216
vegan,14.746965,0.00012295
senate,14.70976,0.0001254
xanax,14.676917,0.0001276
eblade,14.568183,0.00013518
lipstick,14.54915,0.00013655
kissed,14.459411,0.00014321
usually,14.431584,0.00014534
prescribed,14.3069,0.00015529
aosp,14.29076,0.00015663
haha,14.262348,0.00015901
abusive,14.241764,0.00016076
cpap,14.241283,0.0001608
bed,14.211627,0.00016336
lonely,14.205481,0.00016389
ellie,14.169468,0.00016706
advice,14.13564,0.00017009
hurt,14.039675,0.00017899
united,14.026651,0.00018024
microsoft,14.017223,0.00018114
lot,13.999303,0.00018288
felt,13.997227,0.00018308
osteoarthritis,13.965616,0.00018618
sydney,13.88746,0.00019409
angry,13.832301,0.00019987
selfish,13.824714,0.00020068
corporate,13.803857,0.00020292
nyx,13.798858,0.00020346
masks,13.794665,0.00020391
gyno,13.774592,0.0002061
caliper,13.745476,0.00020932
issues,13.70704,0.00021365
annamarie,13.699979,0.00021446
physical,13.698378,0.00021464
laws,13.654183,0.00021975
report,13.644249,0.00022092
orientation,13.617558,0.00022408
submitted,13.595895,0.00022668
democratic,13.563061,0.00023068
oily,13.533085,0.00023439
lately,13.513483,0.00023686
supreme,13.496845,0.00023896
thank,13.491689,0.00023962
ashamed,13.473929,0.0002419
site,13.467543,0.00024273
awake,13.43187,0.00024739
lexapro,13.40873,0.00025046
gender,13.335755,0.00026039
washington,13.321653,0.00026236
extremely,13.289494,0.0002669
officer,13.289111,0.00026695
months,13.277174,0.00026866
bf,13.247565,0.00027293
sister,13.220986,0.00027683
aspergers,13.219766,0.00027701
sandman,13.20491,0.00027922
launch,13.194993,0.0002807
probably,13.176168,0.00028353
romantic,13.167944,0.00028478
charlie,13.167485,0.00028485
salicylic,13.081648,0.0002982
nonbinary,13.077939,0.00029879
sexuality,13.054146,0.00030261
confidence,13.051276,0.00030308
masculine,13.040632,0.00030481
hazel,13.038898,0.00030509
apple,13.012571,0.00030941
eyebrows,13.010061,0.00030982
rights,12.997115,0.00031197
counsellor,12.99686,0.00031201
orgasm,12.984363,0.0003141
pill,12.954413,0.00031917
troop,12.873034,0.00033335
motivation,12.815644,0.00034373
prices,12.804954,0.0003457
ocm,12.801239,0.00034639
pregnancy,12.782017,0.00034997
vent,12.689803,0.00036765
venting,12.668729,0.00037182
syria,12.641916,0.00037719
tinker,12.624803,0.00038066
about,12.624655,0.00038069
crps,12.582082,0.00038946
intimate,12.579068,0.00039009
theatre,12.526356,0.00040125
psych,12.486706,0.00040986
til,12.478461,0.00041167
dosage,12.450004,0.00041799
offlane,12.432559,0.00042191
lgbtq,12.410983,0.00042682
male,12.398953,0.00042957
moisturizing,12.38341,0.00043317
witchery,12.313406,0.00044972
since,12.292751,0.00045472
aokp,12.202381,0.00047729
tampons,12.191985,0.00047995
millbee,12.089319,0.00050711
juggernaut,12.082841,0.00050888
seduction,12.064373,0.00051395
crying,12.055448,0.00051641
atomizer,12.024919,0.00052494
labo,12.023964,0.00052521
sucks,12.011266,0.0005288
better,11.936335,0.0005505
sadness,11.897538,0.00056208
