,score,pval
depression,787.990749,0.0
my,608.838685,0.0
me,437.930654,0.0
im,387.013767,0.0
anxiety,337.77095,0.0
feel,302.959589,0.0
relationship,267.555872,0.0
boyfriend,255.119906,0.0
myself,243.244403,0.0
depressed,217.831766,0.0
she,200.881944,0.0
mmr,187.542446,0.0
asexual,182.241404,0.0
feeling,163.556589,0.0
her,162.863272,0.0
really,160.885927,0.0
ive,159.919962,0.0
friends,156.382169,0.0
therapist,146.096068,0.0
am,141.928832,0.0
medication,139.024938,0.0
sex,136.974393,0.0
pain,135.153162,0.0
cerave,132.988302,0.0
so,130.279454,0.0
because,129.918688,0.0
talk,128.712462,0.0
you,128.399169,0.0
someone,127.330585,0.0
feelings,123.446067,0.0
dont,121.28783,0.0
meds,120.936917,0.0
acne,113.963707,0.0
suicidal,113.723062,0.0
sometimes,112.762746,0.0
http,111.738347,0.0
know,110.485102,0.0
but,109.863368,0.0
have,108.305279,0.0
therapy,104.594485,0.0
sleep,103.091496,0.0
keto,98.244244,0.0
makeup,96.787057,0.0
okay,96.701875,0.0
just,95.945568,0.0
things,94.761933,0.0
bkb,94.034976,0.0
attracted,93.977634,0.0
dating,93.947861,0.0
moisturizer,91.576046,0.0
diagnosed,91.124324,0.0
friend,90.780391,0.0
like,90.61761,0.0
attractive,88.334395,0.0
help,85.654868,0.0
depressive,85.449032,0.0
life,83.140148,0.0
asexuality,83.092482,0.0
partner,82.978051,0.0
want,80.949839,0.0
person,78.749605,0.0
him,78.474234,0.0
parents,76.960616,0.0
nyx,75.781374,0.0
andnbsp,73.871801,0.0
heroes,73.126226,0.0
pcos,72.507155,0.0
youre,72.477914,0.0
lotion,72.01881,0.0
mom,71.718952,0.0
relationships,71.386968,0.0
and,70.952325,0.0
get,70.146108,0.0
emotionally,69.596303,0.0
the,68.511872,0.0
shes,68.301275,0.0
aha,67.207262,0.0
odst,66.989992,0.0
told,66.82535,0.0
uhc,66.629531,0.0
antidepressants,66.267014,0.0
aupair,66.162538,0.0
shelly,65.703373,0.0
love,65.635905,0.0
happy,64.375596,0.0
people,63.662195,0.0
dad,63.611258,0.0
unattractive,63.295081,0.0
queer,62.614633,0.0
try,62.53029,0.0
girlfriend,62.437396,0.0
to,62.147015,0.0
lot,61.870963,0.0
having,61.659426,0.0
had,61.274213,0.0
kayfabe,60.829847,0.0
routine,60.520671,0.0
women,60.391789,0.0
if,59.846769,0.0
husband,59.714542,0.0
ocd,59.511809,0.0
panic,59.476741,0.0
do,58.591348,0.0
uncomfortable,58.5461,0.0
cm,58.1061,0.0
girl,57.422955,0.0
when,56.814671,0.0
being,56.759376,0.0
yourself,56.362283,0.0
vaseline,56.18259,0.0
anxious,56.076762,0.0
istick,55.680715,0.0
thank,55.090825,0.0
go,55.042252,0.0
doctor,54.76579,0.0
disorder,54.536717,0.0
mum,54.474249,0.0
psychiatrist,54.347707,0.0
definitely,54.270625,0.0
family,53.355231,0.0
alone,53.309172,0.0
supportive,53.23948,0.0
hair,53.161825,0.0
hydrox,53.161705,0.0
time,53.138752,0.0
keys,52.990036,0.0
whenever,52.964378,0.0
valiant,52.919007,0.0
about,52.866612,0.0
advice,52.607997,0.0
skin,52.344163,0.0
zoloft,51.651861,0.0
aghs,51.346164,0.0
something,50.885029,0.0
emotional,50.769198,0.0
instad,50.624265,0.0
with,50.352098,0.0
caliper,50.277893,0.0
cbt,50.039176,0.0
going,49.174593,0.0
miserable,48.511272,0.0
government,48.495191,0.0
it,47.664757,0.0
eliquid,47.179865,0.0
cant,47.140832,0.0
mg,46.967473,0.0
sunscreen,46.856669,0.0
personality,46.557208,0.0
boyfriends,46.211938,0.0
obama,46.182909,0.0
prozac,46.153494,0.0
veritas,46.045504,0.0
mental,45.931976,0.0
helps,45.48671,0.0
poly,45.335174,0.0
haha,45.236612,0.0
undertaker,44.957855,0.0
counselling,44.689554,0.0
mindcrack,44.648352,0.0
anderz,44.376232,0.0
felt,44.368755,0.0
submission,43.648069,0.0
sexual,42.941494,0.0
maybe,42.902204,0.0
started,42.735613,0.0
cymbalta,42.39421,0.0
tell,42.08407,0.0
qop,42.072065,0.0
mkb,41.934231,0.0
michaels,41.574166,0.0
school,41.557445,0.0
fogger,41.416899,0.0
war,41.387869,0.0
ex,41.328281,0.0
conversation,40.947839,0.0
skadi,40.537499,0.0
ill,40.289767,0.0
fetish,40.169911,0.0
think,39.877753,0.0
upset,39.670333,0.0
diggle,39.633607,0.0
brother,39.56944,0.0
attraction,39.238609,0.0
physically,38.981906,0.0
police,38.7937,0.0
usually,38.658509,0.0
out,38.597047,0.0
thanks,38.310476,0.0
blink,38.269176,0.0
tried,38.225792,0.0
atomizer,38.160179,0.0
apnea,37.922875,0.0
married,37.750998,0.0
comfortable,37.606548,0.0
melatonin,37.559684,0.0
lesbians,37.444645,0.0
too,37.257439,0.0
ehlersdanlos,37.084986,0.0
appointment,36.975414,0.0
trying,36.924741,0.0
else,36.824254,0.0
hobbes,36.683353,0.0
female,36.625587,0.0
feels,36.622885,0.0
relate,36.584555,0.0
trp,36.378839,0.0
neem,36.321439,0.0
mood,36.12078,0.0
situation,35.85645,0.0
annamarie,35.840729,0.0
always,35.764972,0.0
asexuals,35.710314,0.0
bed,35.607526,0.0
hope,35.536361,0.0
honestly,35.329925,0.0
calvin,35.290659,0.0
need,35.183143,0.0
wrestlemania,35.162038,0.0
day,35.062009,0.0
sanders,35.020873,0.0
diagnosis,34.900091,0.0
author,34.660963,0.0
hugs,34.628956,0.0
bernie,34.581441,0.0
though,34.461613,0.0
