,score,pval
depression,406.479297,0.0
my,194.734325,0.0
anxiety,163.138978,0.0
relationship,158.343738,0.0
boyfriend,130.309752,0.0
me,127.385409,0.0
feel,126.056918,0.0
depressed,106.154506,0.0
im,96.013087,0.0
myself,92.714278,0.0
asexual,90.46176,0.0
sex,84.13166,0.0
feeling,77.894786,0.0
http,76.86147,0.0
therapist,72.530538,0.0
therapy,71.933542,0.0
cerave,67.989489,0.0
mmr,67.790764,0.0
medication,67.612925,0.0
suicidal,67.009872,0.0
pain,65.037443,0.0
she,61.993005,0.0
feelings,61.852445,0.0
her,60.276766,0.0
makeup,58.284634,0.0
friends,57.748766,0.0
attracted,57.183001,0.0
meds,56.174281,0.0
talk,56.010859,0.0
acne,55.279908,0.0
am,52.359575,0.0
partner,49.607442,0.0
diagnosed,47.936122,0.0
moisturizer,47.549596,0.0
keto,47.114295,0.0
sometimes,46.713187,0.0
attractive,45.458651,0.0
women,44.901639,0.0
dating,44.620966,0.0
depressive,43.331311,0.0
bkb,42.997965,0.0
heroes,42.42557,0.0
disorder,40.105243,0.0
sleep,39.663112,0.0
the,39.246514,0.0
panic,39.172925,0.0
lotion,38.667362,0.0
aha,38.459156,0.0
because,38.306205,0.0
emotionally,37.999201,0.0
queer,37.141146,0.0
movie,37.109561,0.0
ive,37.023972,0.0
okay,36.864127,0.0
pcos,36.390344,0.0
antidepressants,36.302107,0.0
asexuality,36.099849,0.0
life,35.658019,0.0
government,35.254005,0.0
relationships,35.209228,0.0
someone,35.039286,0.0
and,34.916964,0.0
skin,34.523458,0.0
obama,34.101125,1e-08
routine,33.886736,1e-08
really,32.304537,1e-08
friend,32.276684,1e-08
supportive,32.055758,1e-08
unattractive,31.786292,2e-08
emotional,31.656123,2e-08
hydrox,31.180292,2e-08
sexual,30.882489,3e-08
shelly,30.248711,4e-08
person,30.095189,4e-08
zoloft,30.060825,4e-08
uhc,29.609681,5e-08
parents,29.329925,6e-08
vaseline,29.256808,6e-08
aghs,29.023861,7e-08
help,28.982689,7e-08
husband,28.801489,8e-08
anxious,28.744554,8e-08
poly,28.529069,9e-08
cbt,28.506815,9e-08
alone,28.405652,1e-07
miserable,28.394125,1e-07
aupair,28.238977,1.1e-07
family,27.833585,1.3e-07
uncomfortable,27.776261,1.4e-07
war,27.521813,1.6e-07
mum,27.058894,2e-07
sunscreen,26.272788,3e-07
kayfabe,26.238007,3e-07
mom,26.23338,3e-07
vote,26.075886,3.3e-07
mental,25.843153,3.7e-07
whenever,25.728104,3.9e-07
doctor,25.517769,4.4e-07
psychiatrist,25.47585,4.5e-07
shawn,25.369627,4.7e-07
fetish,25.305112,4.9e-07
submission,25.230197,5.1e-07
ocd,25.122961,5.4e-07
girl,25.06894,5.5e-07
severe,24.747561,6.5e-07
film,24.562219,7.2e-07
article,24.502868,7.4e-07
ex,24.409313,7.8e-07
things,24.258788,8.4e-07
bernie,24.191101,8.7e-07
prozac,24.155731,8.9e-07
attraction,24.148309,8.9e-07
cm,24.054489,9.4e-07
counselling,23.860543,1.04e-06
bp,23.285312,1.4e-06
melatonin,23.281641,1.4e-06
personality,23.249915,1.42e-06
movies,23.052374,1.58e-06
cymbalta,23.019248,1.6e-06
hair,22.595968,2e-06
dad,22.452315,2.15e-06
shes,22.434912,2.17e-06
cope,22.401413,2.21e-06
kp,22.277408,2.36e-06
political,22.261412,2.38e-06
have,22.256757,2.39e-06
doctors,22.038392,2.67e-06
happy,21.940928,2.81e-06
diagnosis,21.878013,2.91e-06
removed,21.686337,3.21e-06
dota,21.548325,3.45e-06
so,21.526079,3.49e-06
mkb,21.517289,3.51e-06
physically,21.442333,3.65e-06
calvin,21.44117,3.65e-06
having,21.163587,4.22e-06
sanders,21.118074,4.32e-06
girlfriend,20.900766,4.84e-06
told,20.876961,4.9e-06
boyfriends,20.762353,5.2e-06
anderz,20.704233,5.36e-06
being,20.617043,5.61e-06
mindcrack,20.531289,5.87e-06
states,20.404407,6.27e-06
apnea,20.402125,6.28e-06
republicans,20.39821,6.29e-06
michaels,20.379842,6.35e-06
childcare,20.221744,6.9e-06
him,20.138797,7.2e-06
mods,20.00864,7.71e-06
odst,19.895737,8.18e-06
trp,19.699828,9.06e-06
conversation,19.69774,9.07e-06
neem,19.590208,9.6e-06
police,19.522292,9.94e-06
skadi,19.456598,1.029e-05
republican,19.398397,1.061e-05
helps,19.257449,1.142e-05
gun,19.170093,1.196e-05
news,19.121783,1.226e-05
lesbians,19.10175,1.239e-05
hobbes,19.025055,1.29e-05
israel,18.924989,1.36e-05
illness,18.909913,1.37e-05
skincare,18.855284,1.41e-05
cleanser,18.808052,1.446e-05
mg,18.779818,1.467e-05
female,18.76242,1.481e-05
pregnant,18.567006,1.64e-05
hugs,18.509243,1.691e-05
to,18.300136,1.887e-05
films,18.19321,1.996e-05
clinton,18.15686,2.034e-05
american,18.14013,2.052e-05
lot,18.138684,2.054e-05
breakup,18.126255,2.067e-05
eds,18.074368,2.124e-05
with,17.959385,2.257e-05
